,Cruise Name,Sample #,Date,Time GMT,Station Number,LabelC,Description,Description_label,DateTime,Datenum,Latitude,Longitude,Phycoeryth(RFU),CDOM(RFU),Chlorophyll_a(RFU),Turbidity(RFU),Depth(m),Temp(C),WDIR,WSPD,ATMP,WTMP,Salinity (PSU),Ratio,Ratio
21,R/V Sikuliaq,43,9/5/2017,1:47,75,2D,WPNT 2.4 D,2.4,9/5/2017 1:47,736943.074305556,71.333868375,-151.082193875,10.6465584779,179.089804141,105.4844991606,14.9385338556,11.2913094572,6.314415221,57.8,6.02,5.42,1.96,27.1,1.5766197348,1.5766197348
22,R/V Sikuliaq,45,9/5/2017,4:18,78,2D,WPNT 2.6 D,2.6,9/5/2017 4:18,736943.179166667,71.2415755,-151.134806625,10.6387017348,151.1175825406,117.8680470062,14.4564521544,11.285573587,6.0943984331,43.5,5.25,5.05,1.7,28.5,2.6017765733,2.6017765733
23,R/V Sikuliaq,47,9/5/2017,6:34,80,2D,WPNT 2.8 D,2.8,9/5/2017 6:34,736943.273611111,71.151516625,-151.18797375,10.6241745943,123.9260660325,106.589994404,14.4314493565,11.2910184667,5.4597257974,38.4,3.38,4.82,1.8,28.8,1.6472977399,1.6472977399
24,R/V Sikuliaq,50,9/5/2017,8:51,82,2D,WPNT 2.10 D,2.10,9/5/2017 8:51,736943.36875,71.062011,-151.256045,10.5995075546,163.480962507,127.4700615557,23.650005596,11.2998209289,4.6665584779,19,1.775,4.075,1.9,29.8,2.5738293359,2.5738293359
25,R/V Sikuliaq,51,9/6/2017,10:49,86,4B,WPNT 4.4 B,4.4,9/6/2017 10:49,736944.450694444,71.2741755,-150.267529125,10.6397537773,219.2590039172,651.5944040291,15.1549860101,11.3126245104,6.0407890319,91.8,9.08,2.46,2.14,25.2,3.4621094424,3.4621094424
26,R/V Sikuliaq,53,9/6/2017,13:31,87,4B,WPNT 4.5 B,4.5,9/6/2017 13:31,736944.563194444,71.2286618333,-150.2947835,10.6415221041,177.3861891438,549.0301063234,14.2741801903,11.2996978176,5.8971572468,82,12.26,2.64,2,25.4,7.2703881378,7.2703881378
27,R/V Sikuliaq,55,9/6/2017,15:52,89,4B,WPNT 4.6 B,4.6,9/6/2017 15:52,736944.661111111,71.18440325,-150.32686525,10.6002686066,125.610184667,451.4438276441,13.826144376,11.2960996083,4.6610632345,94.2,12.66,2.78,2.2,27.5,0.8996087605,0.8996087605
28,R/V Sikuliaq,57,9/6/2017,16:50,91,4B,WPNT 4.8 B,4.8,9/6/2017 16:50,736944.701388889,71.0937038333,-150.383606,10.5985450476,118.6045886961,33.0846558478,14.5828987129,11.292495803,4.143262451,85,13.98,2.92,2.2,29.4,1.4891950447,1.4891950447
29,R/V Sikuliaq,59,9/6/2017,19:35,93,4B,WPNT 4.10 B,4.10,9/6/2017 19:35,736944.815972222,71.0026088333,-150.4350023333,10.5969110241,134.2691662003,50.8149076665,19.3673866816,11.2851147174,3.8972299944,83.4,15.2,3.36,2.3,29.7,1.3523675036,1.3523675036
30,R/V Sikuliaq,61,9/7/2017,18:00,108,6A,WPNT 6.4,6.4,9/7/2017 18:00,736945.75,71.2112795,-149.4322955,10.5975601567,118.1291326245,12066.844991606,19.4443872412,11.1880526021,3.8055120313,103.8,9.72,3,3.6,27.8,1.2626861982,1.2626861982
31,R/V Sikuliaq,63,9/7/2017,21:00,111,6A,WPNT 6.6,6.6,9/7/2017 21:00,736945.875,71.125016,-149.499711,10.5229099049,122.9860100727,71.2327700056,15.2668382764,11.215193061,2.5075153889,106.4,9.58,3.22,3.6,28.9,1.819110884,1.819110884
32,R/V Sikuliaq,65,9/7/2017,23:30,113,6A,WPNT 6.8,6.8,9/7/2017 23:30,736945.979166667,71.0391495,-149.565386,10.5850475658,149.4254728595,55.1497034135,19.7977392278,11.2152322328,3.2389647454,84.2,10.92,2.92,3.6,29.2,1.8239414343,1.8239414343
33,R/V Sikuliaq,66,9/8/2017,2:25,115,6A,WPNT 6.10,6.10,9/8/2017 2:25,736946.100694445,70.945739,-149.6262115,10.5344823727,123.5455400112,117.2365081142,17.692109681,11.2203637381,3.0378679351,87,12.9,2.925,3.7,29.2,1.5975541186,1.5975541186
34,R/V Sikuliaq,68,9/8/2017,15:34,128,5A,WPNT 5.2,5.2,9/8/2017 15:34,736946.648611111,71.334774,-149.7913148333,10.5131505316,124.2498489088,111.549031897,14.9031225518,11.2333296027,2.8818074986,72,12.64,1.78,3.8,28.4,2.2959954396,2.2959954396
35,R/V Sikuliaq,71,9/8/2017,19:20,131,5A,WPNT 5.45,5.45,9/8/2017 19:20,736946.805555556,71.220822625,-149.859458,10.5068382764,120.3688640179,101.9771012871,14.1476217124,11.2437437045,3.7572635702,69.4,12.06,2,3.7,28,1.5425833446,1.5425833446
36,R/V Sikuliaq,74,9/8/2017,21:32,133,5A,WPNT 5.6,5.6,9/8/2017 21:32,736946.897222222,71.155076625,-149.910498875,10.4966088416,142.9433016228,83.3438164522,16.2635030778,11.2539283716,3.9429714605,67.4,11.26,1.66,3.32,28.2,2.2542478984,2.2542478984
37,R/V Sikuliaq,76,9/9/2017,0:00,135,5A,WPNT 5.8,5.8,9/9/2017 0:00,736947,71.0412335,-149.8513361667,10.4873195299,134.5409736989,81.5521432569,15.9089423615,11.2635310576,2.9866871852,72.4,10.02,1.5,3.34,28.9,1.9181812085,1.9181812085
38,R/V Sikuliaq,78,9/9/2017,2:26,137,5A,WPNT 5.10,5.10,9/9/2017 2:26,736947.101388889,70.973417,-150.0341315,10.5610968103,142.6228091774,38.88691662,16.7447565753,11.2742529379,3.1903245663,77.2,9.76,1.48,3.32,29.1,1.0538605761,1.0538605761
39,R/V Sikuliaq,81,9/9/2017,6:59,138,2E,WPNT 2.10 E,2.10,9/9/2017 6:59,736947.290972222,71.059852,-151.24978725,10.5586121992,191.8150867375,1269.185002798,147.0563850028,11.2890990487,2.9395635143,63.8,10.1,0.64,3.22,30.4,0.9806455191,0.9806455191
40,R/V Sikuliaq,82,9/9/2017,8:15,140,2E,WPNT 2.8 E,2.8,9/9/2017 8:15,736947.34375,71.1503738333,-151.1942081667,10.5438164522,148.8912814773,764.017683268,41.4543704533,11.2826804701,2.9458645775,57.25,8.775,0.55,3.175,29.7,1.4170718025,1.4170718025
41,R/V Sikuliaq,84,9/9/2017,9:58,142,2E,WPNT 2.6 E,2.6,9/9/2017 9:58,736947.415277778,71.243836,-151.1425181667,10.5457862339,121.9376608842,159.1515612759,20.2738891998,11.2804476777,2.7904364857,60.6,9.4,0.34,3.02,29.3,2.4718356528,2.4718356528
42,R/V Sikuliaq,86,9/9/2017,11:23,144,2E,WPNT 2.45 E,2.45,9/9/2017 11:23,736947.474305556,71.311410875,-151.096852875,10.5597313934,127.0058645775,533.3428091774,15.1571348629,11.2822495803,3.7536653609,59.2,7.48,0.02,3.22,27.9,1.2722772277,1.2722772277
43,R/V Sikuliaq,88,9/9/2017,13:45,146,2E,WPNT 2.3 E,2.3,9/9/2017 13:45,736947.572916667,71.3880817,-151.0412863,10.5578287633,108.4573475098,456.1390039172,14.2864465585,11.2553049804,3.2896250699,59.75,7.25,-0.15,3.3,27.6,2.1950384944,2.1950384944
